,NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract
92,Census Tract 63.23; Franklin County; Ohio,1577,40,34,10,46,12,30,49,17,34,92,83,197,119,163,221,430,39,049,006323
93,Census Tract 63.30; Franklin County; Ohio,2086,34,10,27,17,0,14,32,71,99,80,146,203,321,142,429,461,39,049,006330
94,Census Tract 63.40; Franklin County; Ohio,1558,16,0,108,9,19,11,19,124,37,226,62,127,55,87,161,497,39,049,006340
95,Census Tract 63.51; Franklin County; Ohio,2025,85,16,48,6,92,47,337,37,80,163,122,315,192,137,196,152,39,049,006351
96,Census Tract 63.52; Franklin County; Ohio,1949,68,15,62,65,191,41,25,130,214,110,230,359,185,153,101,0,39,049,006352
97,Census Tract 63.53; Franklin County; Ohio,2859,82,137,86,84,48,68,309,374,159,382,252,236,240,229,129,44,39,049,006353
98,Census Tract 63.72; Franklin County; Ohio,2960,60,167,39,144,144,138,190,101,183,268,172,405,201,213,407,128,39,049,006372
99,Census Tract 63.84; Franklin County; Ohio,2394,0,10,44,55,128,115,122,92,31,74,232,265,467,125,389,245,39,049,006384
100,Census Tract 63.86; Franklin County; Ohio,2748,203,61,159,40,80,116,14,53,32,268,406,427,200,211,270,208,39,049,006386
101,Census Tract 63.87; Franklin County; Ohio,2763,91,92,29,55,91,139,82,60,187,189,222,261,438,166,361,300,39,049,006387
102,Census Tract 63.91; Franklin County; Ohio,1839,0,7,0,15,7,6,8,20,15,17,80,126,142,147,365,884,39,049,006391
103,Census Tract 63.92; Franklin County; Ohio,1617,46,9,10,9,9,7,20,19,0,57,73,196,135,68,325,634,39,049,006392
104,Census Tract 63.93; Franklin County; Ohio,2062,0,11,69,56,6,33,15,32,36,78,263,232,203,369,323,336,39,049,006393
105,Census Tract 63.94; Franklin County; Ohio,1241,0,12,13,22,12,16,35,0,224,59,95,180,233,93,188,59,39,049,006394
106,Census Tract 63.95; Franklin County; Ohio,2134,64,13,138,117,33,82,65,65,32,107,507,299,312,82,151,67,39,049,006395
107,Census Tract 63.96; Franklin County; Ohio,2572,189,114,65,16,174,82,57,172,134,107,105,396,211,256,246,248,39,049,006396
108,Census Tract 63.97; Franklin County; Ohio,2719,82,13,30,62,182,331,177,55,93,161,475,357,373,61,214,53,39,049,006397
109,Census Tract 63.98; Franklin County; Ohio,1267,20,37,18,0,0,0,0,17,0,0,105,28,174,56,203,609,39,049,006398
110,Census Tract 64.10; Franklin County; Ohio,1214,15,0,46,0,33,10,23,0,25,44,119,117,139,113,97,433,39,049,006410
111,Census Tract 64.30; Franklin County; Ohio,1931,11,38,41,32,24,40,118,19,9,210,122,195,157,162,201,552,39,049,006430
112,Census Tract 65; Franklin County; Ohio,1313,18,0,1,0,9,11,15,0,0,41,120,118,157,71,110,642,39,049,006500
113,Census Tract 66; Franklin County; Ohio,1550,24,0,0,9,0,7,10,9,47,114,67,57,181,101,149,775,39,049,006600
114,Census Tract 67.10; Franklin County; Ohio,1291,58,22,62,27,12,39,11,45,82,15,101,187,113,118,119,280,39,049,006710
115,Census Tract 67.21; Franklin County; Ohio,1568,6,0,15,7,22,72,19,8,12,36,32,135,260,234,199,511,39,049,006721
116,Census Tract 67.22; Franklin County; Ohio,1140,45,14,34,32,0,28,67,53,68,56,96,211,121,96,129,90,39,049,006722
117,Census Tract 68.10; Franklin County; Ohio,1032,0,12,19,4,12,6,10,24,22,67,44,238,114,78,125,257,39,049,006810
118,Census Tract 68.21; Franklin County; Ohio,1948,113,98,180,116,85,228,129,99,120,86,153,267,95,45,84,50,39,049,006821
